"Nome Locale";"Capienza";"Provincia";"Comune";"Genere locale";"CAP";"Numero civico";"Toponimo";" Ingressi";"Giornate solari";"Indirizzo"
"ROMA - ROMA SALA 3";"150";"VICENZA";"Vicenza";"CINEMA";"36100";"11";"STRADELLA";"29713";"366";"DEI FILIPPINI"
"ROMA - ROMA SALA 4";"145";"VICENZA";"Vicenza";"CINEMA";"36100";"11";"STRADELLA";"23994";"365";"DEI FILIPPINI"
"ROMA - ROMA SALA 5";"148";"VICENZA";"Vicenza";"CINEMA";"36100";"11";"STRADELLA";"25707";"366";"DEI FILIPPINI"
"ROMA - ROMA SALA 6";"34";"VICENZA";"Vicenza";"CINEMA";"36100";"11";"STRADELLA";"12037";"366";"DEI FILIPPINI"
"SALA ARENA";"410";"VICENZA";"Sandrigo";"CINEMA";"36066";"10";"VIA";"9277";"101";"SAN GAETANO"
"SALA DELLA COMUNITA'";"214";"VICENZA";"Brendola";"SALA";"36040";"28";"VIA";"2738";"38";"CARBONARA"
"SAN PIETRO";"484";"VICENZA";"Montecchio Maggiore";"CINEMA";"36075";"48";"VIA";"4513";"56";"GIACOMO MATTEOTTI"
"SCUOLE MEDIE/ELEMENTARI";"200";"VICENZA";"Pozzoleone";"PALESTRA";"36050";"30";"VIA";"307";"3";"CASONA"
"S. PIO X";"418";"VICENZA";"Cartigliano";"CINEMA";"36050";"5";"VIALE";"3081";"57";"SAN PIO X"
"SUPER - SALA UTILE/DULCI";"381";"VICENZA";"Valdagno";"CINEMA";"36078";"28";"VIALE";"20496";"280";"TRENTO"
"SUPER - SALA ZAFFONATO";"150";"VICENZA";"Valdagno";"CINEMA";"36078";"28";"VIALE";"10066";"258";"TRENTO"
"T.ARDOR";"200";"VICENZA";"Tonezza del Cimone";"MONOSALA CINEMA";"36040";"2";"CONTRA'";"357";"2";"CAMPANA"
"TEATRO - PALAZZO CULTURA E TURISMO - NUOVO TEATRO ENEGO";"266";"VICENZA";"Enego";"TEATRO";"36052";"1";"VIA";"759";"18";"CHIESA"
"TEATRO SALESIANO";"200";"VICENZA";"Schio";"MONOSALA CINEMA";"36015";"14";"VIA";"7177";"93";"GUGLIELMO MARCONI"
"TEATRO SOCIALE";"620";"VICENZA";"Schio";"MONOSALA CINEMA";"36015";"26";"VIA";"19720";"176";"PASUBIO"
"THE SPACE CINEMA VICENZA - SALA 1";"267";"VICENZA";"Torri di Quartesolo";"CINEMA";"36040";"SNC";"VIA";"58141";"365";"BRESCIA"
"THE SPACE CINEMA VICENZA - SALA 2";"127";"VICENZA";"Torri di Quartesolo";"CINEMA";"36040";"SNC";"VIA";"27795";"365";"BRESCIA"
"THE SPACE CINEMA VICENZA - SALA 3";"206";"VICENZA";"Torri di Quartesolo";"CINEMA";"36040";"SNC";"VIA";"41464";"366";"BRESCIA"
"THE SPACE CINEMA VICENZA - SALA 4";"251";"VICENZA";"Torri di Quartesolo";"CINEMA";"36040";"SNC";"VIA";"44989";"366";"BRESCIA"
"THE SPACE CINEMA VICENZA - SALA 5";"404";"VICENZA";"Torri di Quartesolo";"CINEMA";"36040";"SNC";"VIA";"90676";"366";"BRESCIA"
"THE SPACE CINEMA VICENZA - SALA 6";"251";"VICENZA";"Torri di Quartesolo";"CINEMA";"36040";"SNC";"VIA";"45158";"359";"BRESCIA"
"THE SPACE CINEMA VICENZA - SALA 7";"206";"VICENZA";"Torri di Quartesolo";"CINEMA";"36040";"SNC";"VIA";"37701";"366";"BRESCIA"
"THE SPACE CINEMA VICENZA - SALA 8";"127";"VICENZA";"Torri di Quartesolo";"CINEMA";"36040";"SNC";"VIA";"28160";"366";"BRESCIA"
"THE SPACE CINEMA VICENZA - SALA 9";"267";"VICENZA";"Torri di Quartesolo";"CINEMA";"36040";"SNC";"VIA";"54133";"366";"BRESCIA"
"VIA BATTISTI";"1000";"VICENZA";"Bolzano Vicentino";"ALL'APERTO";"36050";"SNC";"VIA";"220";"1";"BATTISTI"
"VILLA FABRIS";"1000";"VICENZA";"Thiene";"PARCO";"36016";"1";"VIA";"6674";"33";"TRIESTE"
"CINEMA EDEN";"310";"BELLUNO";"Cortina d'Ampezzo";"CINEMA";"32043";"SNC";"VIA";"31582";"285";"CESARE BATTISTI"
"DOLOMITI";"235";"BELLUNO";"Falcade";"CINEMA";"32020";"98";"CORSO";"4664";"99";"ROMA"
"ITALIA";"334";"BELLUNO";"Belluno";"CINEMA";"32100";"8";"VIA";"20844";"346";"GIUSEPPE GARIBALDI"
"KURSAAL";"332";"BELLUNO";"Auronzo di Cadore";"CINEMA";"32041";"26";"VIA";"3887";"104";"ROMA"
"LA PETITE LUMIERE - SALA BLU";"107";"BELLUNO";"Belluno";"CINEMA";"32100";"9";"VIA DEGLI";"32889";"350";"AGRICOLTORI"
"LA PETITE LUMIERE - SALA ROSSA";"109";"BELLUNO";"Belluno";"CINEMA";"32100";"9";"VIA DEGLI";"34126";"350";"AGRICOLTORI"
"LA PETITE LUMIERE - SALA VERDE";"107";"BELLUNO";"Belluno";"CINEMA";"32100";"9";"VIA DEGLI";"30415";"340";"AGRICOLTORI"
"OFFICINEMA";"176";"BELLUNO";"Feltre";"CINEMA";"32032";"4";"PIAZZA";"28886";"319";"ANTONIO CAMBRUZZI"
"OPERE PARROCCHIALI";"250";"BELLUNO";"Longarone";"SALA";"32013";"SNC";"VIA";"384";"4";"SAN CRISTOFORO"
"ORATORIO PARROCCHIAL";"150";"BELLUNO";"Santa Giustina";"SALA";"32035";"SNC";"PIAZZA";"230";"3";"MAGGIORE"
"PIAVE";"243";"BELLUNO";"Santo Stefano di Cadore";"CINEMA";"32045";"SNC";"VIA";"4611";"279";"VENEZIA"
"AURORA";"309";"TREVISO";"Treviso";"CIRC.CINEMA";"31100";"34";"VIA";"6577";"46";"SEBASTIANO VENIER"
"BARCHESSA VILLA SERENA";"300";"TREVISO";"Ponzano Veneto";"ALL'APERTO";"31050";"45";"VIA";"262";"3";"GIOVANNI BATTISTA CICOGNA"
"BIBLIOTECA";"100";"TREVISO";"Vittorio Veneto";"SALA";"31029";"SNC";"PIAZZA";"575";"16";"GIOVANNI PAOLO I"
"BIBLIOTECA COMUNALE";"100";"TREVISO";"Povegliano";"ALL'APERTO";"31050";"26";"BORGO";"253";"3";"SAN DANIELE"
"CARENI";"460";"TREVISO";"Pieve di Soligo";"TEATRO";"31053";"16";"VIA";"12278";"109";"GUGLIELMO MARCONI"
"CINECITY - SALA 1";"488";"TREVISO";"Silea";"CINEMA";"31057";"8";"VIA";"119532";"366";"SILE"
"CINECITY - SALA 10";"228";"TREVISO";"Silea";"CINEMA";"31057";"8";"VIA";"52175";"366";"SILE"
"CINECITY - SALA 11";"124";"TREVISO";"Silea";"CINEMA";"31057";"8";"VIA";"34314";"366";"SILE"
"CINECITY - SALA 12";"338";"TREVISO";"Silea";"CINEMA";"31057";"8";"VIA";"78961";"366";"SILE"
"CINECITY - SALA 2";"124";"TREVISO";"Silea";"CINEMA";"31057";"8";"VIA";"35037";"365";"SILE"
"CINECITY - SALA 3";"214";"TREVISO";"Silea";"CINEMA";"31057";"8";"VIA";"55032";"366";"SILE"
"CINECITY - SALA 4";"228";"TREVISO";"Silea";"CINEMA";"31057";"8";"VIA";"56460";"366";"SILE"
"CINECITY - SALA 5";"124";"TREVISO";"Silea";"CINEMA";"31057";"8";"VIA";"37143";"365";"SILE"
"CINECITY - SALA 6";"302";"TREVISO";"Silea";"CINEMA";"31057";"8";"VIA";"76274";"366";"SILE"
"CINECITY - SALA 7";"228";"TREVISO";"Silea";"CINEMA";"31057";"8";"VIA";"60800";"363";"SILE"
"CINECITY - SALA 8";"124";"TREVISO";"Silea";"CINEMA";"31057";"8";"VIA";"34466";"364";"SILE"
"CINECITY - SALA 9";"212";"TREVISO";"Silea";"CINEMA";"31057";"8";"VIA";"48698";"365";"SILE"
"CINEMA";"346";"TREVISO";"Mogliano Veneto";"CINEMA";"31021";"39";"VIA";"9502";"136";"DON GIOVANNI BOSCO"
"CINEMA MASERADA";"200";"TREVISO";"Maserada sul Piave";"ALL'APERTO";"31052";"1";"VIALE";"194";"2";"ANTONIO CACCIANIGA"
